,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_charges,total_calls,total_minutes,day_charge_per call,eve_charge_per_call,night_charge_per_call,intl_charge_per_call,day_call_length_per_call,eve_call_length_per_call,night_call_length_per_call,intl_call_length_per_call,day_charge_per_min,eve_charge_per_min,night_charge_per_min,intl_charge_per_min,day_charge_percentage,eve_charge_percentage,night_charge_percentage,intl_charge_percentage
0,128,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,76.0,303,717.0,0.41,0.169,0.121,0.9,2.41,1.994,2.689,3.333,0.17,0.085,0.045,0.27,0.593,0.221,0.145,0.036
1,107,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,59.0,332,625.0,0.223,0.161,0.111,1.233,1.314,1.898,2.47,4.567,0.17,0.085,0.045,0.27,0.466,0.282,0.194,0.063
2,137,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,62.0,333,539.0,0.363,0.094,0.07,0.658,2.135,1.102,1.563,2.44,0.17,0.085,0.045,0.27,0.667,0.166,0.118,0.053
3,84,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,67.0,255,565.0,0.717,0.06,0.1,0.254,4.217,0.703,2.212,0.943,0.17,0.085,0.045,0.27,0.76,0.079,0.132,0.027
4,75,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,52.0,359,512.0,0.251,0.103,0.07,0.91,1.475,1.216,1.545,3.367,0.17,0.085,0.045,0.27,0.545,0.242,0.162,0.052
5,118,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,68.0,323,654.0,0.388,0.186,0.078,0.283,2.28,2.184,1.728,1.05,0.17,0.085,0.045,0.27,0.559,0.276,0.135,0.025
6,121,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,78.0,321,787.0,0.421,0.274,0.081,0.29,2.48,3.227,1.802,1.071,0.17,0.085,0.045,0.271,0.476,0.38,0.123,0.026
7,147,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,47.0,275,479.0,0.338,0.093,0.099,0.32,1.987,1.097,2.206,1.183,0.17,0.085,0.045,0.27,0.568,0.186,0.203,0.041
8,117,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,73.0,271,761.0,0.323,0.374,0.108,0.587,1.902,4.395,2.398,2.175,0.17,0.085,0.045,0.27,0.43,0.409,0.133,0.032
9,141,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,81.0,297,818.0,0.523,0.17,0.151,0.604,3.079,2.0,3.365,2.24,0.17,0.085,0.045,0.27,0.543,0.233,0.181,0.037
